year,draft_picks_detail,draft_picks_r1_2,draft_picks_r3_7
2005,Davin Joseph (R1); Chris Chester (R2); Dusty Dvoracek (R3); Travis Wilson (R3); Clint Ingram (R3); J. D. Runnels (R6),2,4
2006,Adrian Peterson (R1); Rufus Alexander (R6); C. J. Ah You (R7),1,2
2007,Curtis Lofton (R2); Malcolm Kelly (R2); Reggie Smith (R3); Allen Patrick (R7),2,2
2008,Phil Loadholt (R2); Juaquin Iglesias (R3); Nic Harris (R5); Duke Robinson (R5); Manuel Johnson (R7),1,4
2009,Sam Bradford (R1); Gerald McCoy (R1); Trent Williams (R1); Jermaine Gresham (R1); Keenan Clayton (R4); Dominique Franks (R5); Brody Eldridge (R5),4,3
2010,DeMarco Murray (R3); Quinton Carter (R4); Jonathan Nelson (R7); Jeremy Beal (R7),0,4
2011,Ryan Broyles (R2); Donald Stephenson (R3); Jamell Fleming (R3); Frank Alexander (R4); Ronnell Lewis (R4); James Hanna (R6); Travis Lewis (R7),1,6
2012,Lane Johnson (R1); Landry Jones (R4); Kenny Stills (R5); Justin Brown (R6); Stacy McGee (R6); David King (R7),1,5
2013,Jalen Saunders (R4); Aaron Colvin (R4); Corey Nelson (R7); Trey Millard (R7),0,4
2014,Jordan Phillips (R2); Geneo Grissom (R3); Daryl Williams (R4); Blake Bell (R4); Tyrus Thompson (R6); Aaron Ripkowski (R6),1,5
2015,Sterling Shepard (R2); Charles Tapper (R4); Zack Sanchez (R5); Devante Bond (R6),1,3
2016,Joe Mixon (R2); Dede Westbrook (R4); Samaje Perine (R4); Jordan Evans (R6),1,3
2017,Baker Mayfield (R1); Orlando Brown (R3); Mark Andrews (R3); Ogbonnia Okoronkwo (R5),1,3
2018,Kyler Murray (R1); Marquise Brown (R1); Cody Ford (R2); Bobby Evans (R3); Dru Samia (R4); Ben Powers (R4); Austin Seibert (R5); Rodney Anderson (R6),3,5
2019,CeeDee Lamb (R1); Kenneth Murray (R1); Jalen Hurts (R2); Neville Gallimore (R3),3,1
2020,Creed Humphrey (R2); Ronnie Perkins (R3); Rhamondre Stevenson (R4); Tre Brown (R4); Tre Norwood (R7),1,4
2021,Nik Bonitto (R2); Brian Asamoah (R3); Perrion Winfrey (R4); Delarrin Turner-Yell (R5); Michael Woods II (R6); Isaiah Thomas (R7); Marquis Hayes (R7),1,6
2022,Anton Harrison (R1); Marvin Mims (R2); Wanya Morris (R3); Eric Gray (R5); Brayden Willis (R7),2,3
2023,Tyler Guyton (R1); Walter Rouse (R6); Jonah Laulu (R7),1,2
2024,Danny Stutsman (R4); Billy Bowman Jr. (R4),0,2
2025,R Mason Thomas (R2); Febechi Nwaiwu (R4); Gracen Halton (R4); Kendal Daniels (R4); Robert Spears-Jennings (R7); Jaren Kanak (R7); Deion Burks (R7),1,6
