year,game_order,date,opponent,site_text,home_away_guess,result,team_score,opp_score,notes
1961,10,December 2,Oklahoma State,Oklahoma Memorial Stadium,home,W,21,13,
1962,1,September 22,Syracuse,Oklahoma Memorial Stadium,home,W,7,3,
1962,2,September 29,Notre Dame,Oklahoma Memorial Stadium,home,L,7,13,
1962,3,October 13,Texas,Cotton Bowl,neutral,L,6,9,
1962,4,October 20,Kansas,Memorial Stadium,home,W,13,7,
1962,5,October 27,Kansas State,Oklahoma Memorial Stadium,home,W,47,0,
1962,6,November 3,Colorado,Folsom Field,unknown,W,62,0,
1962,7,November 10,Iowa State,Clyde Williams Field,unknown,W,41,0,
1962,8,November 17,Missouri,Oklahoma Memorial Stadium,home,W,13,0,
1962,9,November 24,Nebraska,Oklahoma Memorial Stadium,home,W,34,6,
1962,10,December 1,Oklahoma State,Lewis Field,unknown,W,37,6,
1962,11,"January 1, 1963",Alabama,Miami Orange Bowl,neutral,L,0,17,
1963,1,September 21,Clemson,Oklahoma Memorial Stadium,home,W,31,14,
1963,2,September 28,USC,Los Angeles Memorial Coliseum,unknown,W,17,12,
1963,3,October 12,Texas,Cotton Bowl,neutral,L,7,28,
1963,4,October 19,Kansas,Oklahoma Memorial Stadium,home,W,21,18,
1963,5,October 26,Kansas State,Memorial Stadium,home,W,34,9,
1963,6,November 2,Colorado,Oklahoma Memorial Stadium,home,W,35,0,
1963,7,November 9,Iowa State,Oklahoma Memorial Stadium,home,W,24,14,
1963,8,November 16,Missouri,Memorial Stadium,home,W,13,3,
1963,9,November 23,Nebraska,Memorial Stadium,home,L,20,29,
1963,10,November 30,Oklahoma State,Oklahoma Memorial Stadium,home,W,34,10,
1964,1,September 19,Maryland,Byrd Stadium,unknown,W,13,3,
1964,2,September 26,USC,Oklahoma Memorial Stadium,home,L,14,40,
1964,3,October 10,Texas,Cotton Bowl,neutral,L,7,28,
1964,4,October 17,Kansas,Memorial Stadium,home,L,14,15,
1964,5,October 24,Kansas State,Oklahoma Memorial Stadium,home,W,44,0,
1964,6,October 31,Colorado,Folsom Field,unknown,W,14,11,
1964,7,November 7,Iowa State,Oklahoma Memorial Stadium,home,W,30,0,
1964,8,November 14,Missouri,Oklahoma Memorial Stadium,home,T,14,14,
1964,9,November 21,Nebraska,Oklahoma Memorial Stadium,home,W,17,7,
1964,10,November 28,Oklahoma State,Lewis Field,unknown,W,21,16,
1964,11,"January 2, 1965",Florida State,Gator Bowl Stadium,neutral,L,19,36,
1965,1,September 25,Pittsburgh,Pitt Stadium,unknown,L,9,13,
1965,2,October 2,Navy,Oklahoma Memorial Stadium,home,L,0,10,
1965,3,October 9,Texas,Cotton Bowl,neutral,L,0,19,
1965,4,October 16,Kansas,Oklahoma Memorial Stadium,home,W,21,7,
1965,5,October 23,Kansas State,Memorial Stadium,home,W,27,0,
1965,6,October 30,Colorado,Oklahoma Memorial Stadium,home,L,0,13,
1965,7,November 6,Iowa State,Oklahoma Memorial Stadium,home,W,24,20,
1965,8,November 13,Missouri,Memorial Stadium,home,L,0,30,
1965,9,November 25,Nebraska,Memorial Stadium,home,L,9,21,
1965,10,December 4,Oklahoma State,Oklahoma Memorial Stadium,home,L,16,17,
1966,1,September 17,Oregon,Oklahoma Memorial Stadium,home,W,17,0,
1966,2,September 24,Iowa State,Clyde Williams Field,unknown,W,33,11,
1966,3,October 8,Texas,Cotton Bowl,neutral,W,18,9,
1966,4,October 15,Kansas,Memorial Stadium,home,W,35,0,
1966,5,October 22,Notre Dame,Oklahoma Memorial Stadium,home,L,0,38,
1966,6,October 29,Colorado,Folsom Field,unknown,L,21,24,
1966,7,November 5,Kansas State,Oklahoma Memorial Stadium,home,W,37,6,
1966,8,November 12,Missouri,Oklahoma Memorial Stadium,home,L,7,10,
1966,9,November 24,Nebraska,Oklahoma Memorial Stadium,home,W,10,9,
1966,10,December 3,Oklahoma State,Lewis Field,unknown,L,14,15,
1967,1,September 23,Washington State,Oklahoma Memorial Stadium,home,W,21,0,
1967,2,September 30,Maryland,Oklahoma Memorial Stadium,home,W,35,0,
1967,3,October 14,Texas,Cotton Bowl,neutral,L,7,9,
1967,4,October 21,Kansas State,Memorial Stadium,home,W,46,7,
1967,5,October 28,Missouri,Memorial Stadium,home,W,7,0,
1967,6,November 4,Colorado,Oklahoma Memorial Stadium,home,W,23,0,
1967,7,November 11,Iowa State,Clyde Williams Field,unknown,W,52,14,
1967,8,November 18,Kansas,Oklahoma Memorial Stadium,home,W,14,10,
1967,9,November 23,Nebraska,Memorial Stadium,home,W,21,14,
1967,10,December 2,Oklahoma State,Oklahoma Memorial Stadium,home,W,38,14,
1967,11,"January 1, 1968",Tennessee,Miami Orange Bowl,neutral,W,26,24,
1968,1,September 21,Notre Dame,Notre Dame Stadium,unknown,L,21,45,
1968,2,September 28,NC State,Oklahoma Memorial Stadium,home,W,28,14,
1968,3,October 12,Texas,Cotton Bowl,neutral,L,20,26,
1968,4,October 19,Iowa State,Oklahoma Memorial Stadium,home,W,42,7,
1968,5,October 26,Colorado,Folsom Field,unknown,L,27,41,
1968,6,November 2,Kansas State,Oklahoma Memorial Stadium,home,W,35,20,
1968,7,November 9,Kansas,Memorial Stadium,home,W,27,23,
1968,8,November 16,Missouri,Oklahoma Memorial Stadium,home,W,28,14,
1968,9,November 23,Nebraska,Oklahoma Memorial Stadium,home,W,47,0,
1968,10,November 30,Oklahoma State,Lewis Field,unknown,W,41,7,
1968,11,December 31,SMU,Houston Astrodome,unknown,L,27,28,
1969,1,September 20,Wisconsin,Camp Randall Stadium,unknown,W,48,21,
1969,2,September 27,Pittsburgh,Oklahoma Memorial Stadium,home,W,37,8,
1969,3,October 11,Texas,Cotton Bowl,neutral,L,17,27,
1969,4,October 18,Colorado,Oklahoma Memorial Stadium,home,W,42,30,
1969,5,October 25,Kansas State,KSU Stadium,unknown,L,21,59,
1969,6,November 1,Iowa State,Oklahoma Memorial Stadium,home,W,37,14,
1969,7,November 8,Missouri,Memorial Stadium,home,L,10,44,
1969,8,November 15,Kansas,Oklahoma Memorial Stadium,home,W,31,15,
1969,9,November 22,Nebraska,Oklahoma Memorial Stadium,home,L,14,44,
1969,10,November 29,Oklahoma State,Lewis Field,unknown,W,28,27,
1970,1,September 12,SMU,Cotton Bowl,neutral,W,28,11,
1970,2,September 19,Wisconsin,Oklahoma Memorial Stadium,home,W,21,7,
1970,3,September 26,Oregon State,Oklahoma Memorial Stadium,home,L,14,23,
1970,4,October 10,Texas,Cotton Bowl,neutral,L,9,41,
1970,5,October 17,Colorado,Folsom Field,unknown,W,23,15,
1970,6,October 24,Kansas State,Oklahoma Memorial Stadium,home,L,14,19,
1970,7,October 31,Iowa State,Clyde Williams Field,unknown,W,29,28,
1970,8,November 7,Missouri,Oklahoma Memorial Stadium,home,W,28,13,
1970,9,November 14,Kansas,Memorial Stadium,home,W,28,24,
1970,10,November 21,Nebraska,Memorial Stadium,home,L,21,28,
1970,11,November 28,Oklahoma State,Oklahoma Memorial Stadium,home,W,66,6,
1970,12,December 31,Alabama,Houston Astrodome,unknown,T,24,24,
1971,1,September 18,SMU,Oklahoma Memorial Stadium,home,W,30,0,
1971,2,September 25,Pittsburgh,Pitt Stadium,unknown,W,55,29,
1971,3,October 2,USC,Oklahoma Memorial Stadium,home,W,33,20,
1971,4,October 9,Texas,Cotton Bowl,neutral,W,48,27,
1971,5,October 16,Colorado,Oklahoma Memorial Stadium,home,W,45,17,
1971,6,October 23,Kansas State,KSU Stadium,unknown,W,75,28,
1971,7,October 30,Iowa State,Oklahoma Memorial Stadium,home,W,43,12,
1971,8,November 6,Missouri,Memorial Stadium,home,W,20,3,
1971,9,November 13,Kansas,Oklahoma Memorial Stadium,home,W,56,10,
1971,10,November 25,Nebraska,Oklahoma Memorial Stadium,home,L,31,35,
1971,11,December 4,Oklahoma State,Lewis Field,unknown,W,58,14,
1971,12,"January 1, 1972",Auburn,Tulane Stadium,unknown,W,40,22,
1972,1,September 16,Utah State,Oklahoma Memorial Stadium,home,W,49,0,
1972,2,September 23,Oregon,Oklahoma Memorial Stadium,home,W,68,3,
1972,3,September 30,Clemson,Oklahoma Memorial Stadium,home,W,52,3,
1972,4,October 14,Texas,Cotton Bowl,neutral,W,27,0,
1972,5,October 21,Colorado,Folsom Field,unknown,L,14,20,
1972,6,October 28,Kansas State,Oklahoma Memorial Stadium,home,W,52,0,
1972,7,November 4,Iowa State,Clyde Williams Field,unknown,W,20,6,
1972,8,November 11,Missouri,Oklahoma Memorial Stadium,home,W,17,6,
1972,9,November 18,Kansas,Memorial Stadium,home,W,31,7,
1972,10,November 23,Nebraska,Memorial Stadium,home,W,17,14,
1972,11,December 2,Oklahoma State,Oklahoma Memorial Stadium,home,W,38,15,
1972,12,December 31,Penn State,Tulane Stadium,unknown,W,14,0,
1973,1,September 15,Baylor,Baylor Stadium,unknown,W,42,14,
1973,2,September 29,USC,Los Angeles Memorial Coliseum,unknown,T,7,7,
1973,3,October 6,Miami (FL),Oklahoma Memorial Stadium,home,W,24,20,
1973,4,October 13,Texas,Cotton Bowl,neutral,W,52,13,
1973,5,October 20,Colorado,Oklahoma Memorial Stadium,home,W,34,7,
1973,6,October 27,Kansas State,KSU Stadium,unknown,W,56,14,
1973,7,November 3,Iowa State,Oklahoma Memorial Stadium,home,W,34,17,
1973,8,November 10,Missouri,Memorial Stadium,home,W,31,3,
1973,9,November 17,Kansas,Oklahoma Memorial Stadium,home,W,48,20,
1973,10,November 23,Nebraska,Oklahoma Memorial Stadium,home,W,27,0,
1973,11,December 1,Oklahoma State,Lewis Field,unknown,W,45,18,
1974,1,September 14,Baylor,Oklahoma Memorial Stadium,home,W,28,11,
1974,2,September 28,Utah State,Oklahoma Memorial Stadium,home,W,72,3,
1974,3,October 5,Wake Forest,Oklahoma Memorial Stadium,home,W,63,0,
1974,4,October 12,Texas,Cotton Bowl,neutral,W,16,13,
1974,5,October 19,Colorado,Folsom Field,unknown,W,49,14,
1974,6,October 26,Kansas State,Oklahoma Memorial Stadium,home,W,63,0,
1974,7,November 2,Iowa State,Clyde Williams Field,unknown,W,28,10,
1974,8,November 9,Missouri,Oklahoma Memorial Stadium,home,W,37,0,
1974,9,November 16,Kansas,Memorial Stadium,home,W,45,14,
1974,10,November 23,Nebraska,Memorial Stadium,home,W,28,14,
1974,11,November 30,Oklahoma State,Oklahoma Memorial Stadium,home,W,44,13,
1975,1,September 13,Oregon,Oklahoma Memorial Stadium,home,W,62,7,
1975,2,September 20,Pittsburgh,Oklahoma Memorial Stadium,home,W,46,10,
1975,3,September 26,Miami (FL),Miami Orange Bowl,neutral,W,20,17,
1975,4,October 4,Colorado,Oklahoma Memorial Stadium,home,W,21,20,
1975,5,October 11,Texas,Cotton Bowl,neutral,W,24,17,
1975,6,October 18,Kansas State,KSU Stadium,unknown,W,25,3,
1975,7,October 25,Iowa State,Oklahoma Memorial Stadium,home,W,39,7,
1975,8,November 1,Oklahoma State,Lewis Field,unknown,W,27,7,
1975,9,November 8,Kansas,Oklahoma Memorial Stadium,home,L,3,23,
1975,10,November 15,Missouri,Faurot Field,unknown,W,28,27,
1975,11,November 22,Nebraska,Oklahoma Memorial Stadium,home,W,35,10,
1975,12,"January 1, 1976",Michigan,Miami Orange Bowl,neutral,W,14,6,
1976,1,September 11,Vanderbilt,Dudley Field,unknown,W,24,3,
1976,2,September 18,California,Oklahoma Memorial Stadium,home,W,28,17,
1976,3,September 25,Florida State,Oklahoma Memorial Stadium,home,W,24,9,
1976,4,October 2,Iowa State,Cyclone Stadium,unknown,W,24,10,
1976,5,October 9,Texas,Cotton Bowl,neutral,T,6,6,
1976,6,October 16,Kansas,Memorial Stadium,home,W,28,10,
